four-way-life: observer [@address, "127.0.0.1", 33373]
FOUR-WAY-LIFE seed=42 size=60x40
GEN 0 497593190
GEN 1 772008918
GEN 2 65433240
GEN 3 346268567
GEN 4 99309836
GEN 5 332457275
GEN 6 689680956
GEN 7 861226025
GEN 8 648985015
GEN 9 721759576
GEN 10 939306681
GEN 11 573160045
GEN 12 871458763
GEN 13 11779203
GEN 14 542543708
GEN 15 806918818
GEN 16 947375957
GEN 17 267100055
GEN 18 238717587
GEN 19 199570230
GEN 20 900222697
GEN 21 413930258
GEN 22 850033068
GEN 23 731246061
GEN 24 909758362
GEN 25 59745916
GEN 26 261094002
GEN 27 295719101
GEN 28 11878183
GEN 29 331990363
GEN 30 469129609
GEN 31 670696567
GEN 32 220224907
GEN 33 654338279
GEN 34 14009532
GEN 35 787538501
GEN 36 460098217
GEN 37 411533598
GEN 38 794421808
GEN 39 499057360
GEN 40 37745995
GEN 41 339437244
GEN 42 850725002
GEN 43 122381462
GEN 44 140130483
GEN 45 225730938
GEN 46 120501958
GEN 47 810645939
GEN 48 967036808
GEN 49 918078021
GEN 50 626546492
GEN 51 330213915
GEN 52 221089060
GEN 53 142888921
GEN 54 458326611
GEN 55 113726541
GEN 56 256146126
GEN 57 957773155
GEN 58 813204374
GEN 59 465101511
GEN 60 76853150
GEN 61 304287040
GEN 62 209449794
GEN 63 608081806
GEN 64 619951801
GEN 65 756349042
GEN 66 341630772
GEN 67 385041449
GEN 68 770891831
GEN 69 761590777
GEN 70 298418762
GEN 71 330914287
GEN 72 286365674
GEN 73 372351039
GEN 74 630534163
GEN 75 791909897
GEN 76 638153741
GEN 77 317562689
GEN 78 289926753
GEN 79 753373344
GEN 80 475492034
GEN 81 520418833
GEN 82 290220749
GEN 83 863839190
GEN 84 477549478
GEN 85 32925180
GEN 86 644390348
GEN 87 126156952
GEN 88 213100497
GEN 89 160458720
GEN 90 267637014
GEN 91 18000385
GEN 92 625095063
GEN 93 327000436
GEN 94 151342278
GEN 95 79450895
GEN 96 830235441
GEN 97 484283956
GEN 98 278686822
GEN 99 585225589
GEN 100 420524036
GEN 101 549051141
GEN 102 600367278
GEN 103 522690495
GEN 104 430670594
GEN 105 172030913
GEN 106 990519070
GEN 107 199418439
GEN 108 734803284
GEN 109 957716187
GEN 110 524180555
GEN 111 453789192
GEN 112 310297707
GEN 113 671965020
GEN 114 835158817
GEN 115 613802324
GEN 116 758363612
GEN 117 405401001
GEN 118 256083330
GEN 119 256083330
GEN 120 256083330
GEN 121 256083330
GEN 122 256083330
GEN 123 256083330
GEN 124 256083330
GEN 125 256083330
GEN 126 256083330
GEN 127 256083330
GEN 128 256083330
GEN 129 256083330
GEN 130 256083330
GEN 131 256083330
GEN 132 256083330
GEN 133 256083330
GEN 134 256083330
GEN 135 256083330
GEN 136 256083330
GEN 137 256083330
GEN 138 256083330
GEN 139 256083330
GEN 140 256083330
GEN 141 256083330
GEN 142 256083330
GEN 143 256083330
GEN 144 256083330
GEN 145 256083330
GEN 146 256083330
GEN 147 256083330
GEN 148 256083330
GEN 149 256083330
GEN 150 256083330
GEN 151 256083330
GEN 152 256083330
GEN 153 256083330
GEN 154 256083330
GEN 155 256083330
GEN 156 256083330
GEN 157 256083330
GEN 158 256083330
GEN 159 256083330
GEN 160 256083330
GEN 161 256083330
GEN 162 256083330
GEN 163 256083330
CLOSED
